date,positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,upToDate,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,kinsa_DetrendedFever,cdc_ili,Twitter_RelatedTweets,google_fever
1/1/20,0,,,,3.452806647,0,0,0,0,0,8.148757726,67,4796.121169
1/2/20,0,,,,3.861362973,0,0,0,0,0,7.87611758,49,3192.296502
1/3/20,0,,,,3.89631777,0,0,0,0,0,7.539785948,69,2885.779403
1/4/20,0,,,2.087900616,3.753271481,0,0,0,0,0,7.13863,57,4049.542787
1/5/20,0,,,2.087900616,3.501030821,0,0,0,0,0,6.871611086,70,3914.869691
1/6/20,0,,,2.087900616,3.83684531,0,0,0,0,0,6.58373161,71,3376.204914
1/7/20,0,,,,3.867121215,0,0,0,0,0,6.276383693,73,4408.351801
1/8/20,0,,,,3.878505964,0,0,0,0,0,5.950959453,65,2709.614413
1/9/20,0,,,,3.88212825,0,0,0,0,0,5.608851012,85,2544.672243
1/10/20,0,,,,3.888525162,0,0,0,0,0,5.251450487,92,2619.132229
1/11/20,0,,,,3.754425087,0,0,0,0,0,4.88015,96,2618.4507
1/12/20,0,,,,3.517076895,0,0,0,0,0,4.736286268,68,3445.681056
1/13/20,0,,,,3.688613157,0,0,0,0,0,4.600209363,93,3064.876352
1/14/20,0,,,,3.573404657,0,0,0,0,0,4.477148221,78,3727.434633
1/15/20,0,,,,3.624830644,0,0,0,0,0,4.372331778,88,3729.425971
1/16/20,0,,,,3.833315643,0,0,0,0,0,4.29098897,74,2817.969405
1/17/20,0,,,,3.904612604,0,0,0,0,0,4.238348732,63,3199.297118
1/18/20,0,,,,3.807222504,0,0,0,0,0,4.21964,49,3773.984087
1/19/20,0,,,0.830778689,3.643012187,0,0,0,0,0,4.22021484,59,3292.127069
1/20/20,0,,,0.830778689,3.788709665,0,0,0,0,0,4.224238717,72,3374.02871
1/21/20,0,,,3.206005078,3.876280132,0,0,0,0,0,4.235160671,127,3381.793843
1/22/20,1,,2,3.563792384,3.880757256,0,0,0,0,0,4.256429738,117,3529.493603
1/23/20,1,,2,4.836421317,3.88524611,0,0,0,0,0,4.291494956,104,2903.050536
1/24/20,1,,2,5.054522297,3.927957567,0,0,0,0,0,4.343805364,115,4406.822897
1/25/20,1,,2,3.865956302,3.816556214,0,0,0,0,0,4.41681,123,4409.099767
1/26/20,1,,2,5.32865065,3.669349832,0,0,0,0,0,4.45054007,124,3780.479537
1/27/20,1,,2,5.096208141,3.856201969,0,0,0,0,0,4.486216492,123,3952.22052
1/28/20,1,,2,5.695049981,3.875282939,0,0,0,0,0,4.523731726,123,4429.175528
1/29/20,1,,3,3.553416959,3.881150788,0,0,0,0,0,4.562978233,118,2648.06993
